Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63b7199cfded736342409e4e,5ec665a1191e78021cd99df5,APPROVED,2023-01-05T18:40:30.735000Z,2023-01-05T18:54:55.468000Z,2023-01-05T18:54:55.900000Z,2023-01-05T18:54:55.836701Z,865,C14F4XTW,285,27,Female,White,Netherlands,United Kingdom,Netherlands,Dutch,DATA_EXPIRED,DATA_EXPIRED
63b719a8ff35f596ae22ea26,5f727fee07055f1d02a05a99,APPROVED,2023-01-05T18:40:44.034000Z,2023-01-05T18:53:11.783000Z,2023-01-05T18:53:12.279000Z,2023-01-05T18:53:12.216501Z,748,C14F4XTW,462,30,Male,Asian,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
63b719ae733df28b5f28a222,63861830958b7290de6353fc,TIMED-OUT,2023-01-05T18:45:10.570000Z,,,2024-02-23T16:41:28.570150Z,35762179,,326,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63b719b2a59ca76cddecf9e8,602ad161c8c74217ea4ae04a,APPROVED,2023-01-05T18:40:50.900000Z,2023-01-05T18:48:35.142000Z,2023-01-05T18:48:35.607000Z,2023-01-05T18:48:35.538395Z,465,C14F4XTW,17,39,Male,Asian,China,Canada,China,Chinese,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63b719c072ad67c29c3861b2,5b7ffeeb05fbbd00016aa0bc,APPROVED,2023-01-05T18:41:04.383000Z,2023-01-05T18:54:05.325000Z,2023-01-05T18:54:05.785000Z,2023-01-05T18:54:05.714583Z,781,C14F4XTW,844,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
63b728c7aa8d0a17a31d676d,5f8359dc31c65e0fca60103f,APPROVED,2023-01-05T19:45:11.046000Z,2023-01-05T19:57:03.846000Z,2023-01-05T19:57:04.378000Z,2023-01-05T19:57:04.318820Z,713,C14F4XTW,731,22,Male,Asian,India,Canada,Canada,Hindi,Yes,Part-Time
63b72f1277ce54f71497d937,5e37453bf269746d9e616f34,APPROVED,2023-01-05T20:14:26.018000Z,2023-01-05T21:06:40.410000Z,2023-01-05T21:06:40.915000Z,2023-01-05T21:06:40.854609Z,3135,C14F4XTW,775,47,Female,Asian,Sri Lanka,United Kingdom,United Kingdom,English,No,Full-Time
63b72f136664d593a1102a34,5ebd495e39fb6f017b95054a,RETURNED,2023-01-05T20:12:04.993000Z,,,2024-02-23T16:41:28.575218Z,,,1632,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63b72f13907a2c93cc3fd820,598c4b28cceb0f0001b39675,RETURNED,2023-01-05T20:12:18.911000Z,,,2024-02-23T16:41:28.575571Z,,,2187,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63b72f1527a3578ce6409e2a,5fb29e64dea90c8e62d9646d,RETURNED,2023-01-05T20:12:39.760000Z,,,2024-02-23T16:41:28.575516Z,,,872,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
